============================= test session starts ==============================
platform darwin -- Python 3.13.3, pytest-8.4.0, pluggy-1.6.0 -- /Users/hadiqa/personal agent/venv/bin/python
cachedir: .pytest_cache
rootdir: /Users/hadiqa/personal_agent_copy_2
configfile: pytest.ini
plugins: anyio-4.9.0, cov-6.2.1, mock-3.14.1, asyncio-1.0.0
asyncio: mode=Mode.STRICT, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 398 items

test_app.py::test_root FAILED                                            [  0%]
test_app.py::test_signup_and_login PASSED                                [  0%]
test_app.py::test_plan_day PASSED                                        [  0%]
test_app.py::test_generate_flashcards_and_review PASSED                  [  1%]
test_app.py::test_get_latest_insights PASSED                             [  1%]
test_app.py::test_notion_status PASSED                                   [  1%]
test_comprehensive.py::TestAuthentication::test_root_endpoint PASSED     [  1%]
test_comprehensive.py::TestAuthentication::test_health_check FAILED      [  2%]
test_comprehensive.py::TestAuthentication::test_api_docs_accessible FAILED [  2%]
test_comprehensive.py::TestAuthentication::test_openapi_json_accessible FAILED [  2%]
test_comprehensive.py::TestTasks::test_get_tasks_unauthorized FAILED     [  2%]
test_comprehensive.py::TestTasks::test_create_task_unauthorized FAILED   [  3%]
test_comprehensive.py::TestTasks::test_get_tasks_statistics_unauthorized FAILED [  3%]
test_comprehensive.py::TestGoals::test_get_goals_unauthorized FAILED     [  3%]
test_comprehensive.py::TestGoals::test_create_goal_unauthorized FAILED   [  3%]
test_comprehensive.py::TestScheduleBlocks::test_get_schedule_blocks_unauthorized FAILED [  4%]
test_comprehensive.py::TestScheduleBlocks::test_create_schedule_block_unauthorized FAILED [  4%]
test_comprehensive.py::TestFlashcards::test_get_flashcards_unauthorized FAILED [  4%]
test_comprehensive.py::TestFlashcards::test_create_flashcard_unauthorized FAILED [  4%]
test_comprehensive.py::TestNotifications::test_get_notifications_unauthorized FAILED [  5%]
test_comprehensive.py::TestAIEndpoints::test_extract_tasks_unauthorized FAILED [  5%]
test_comprehensive.py::TestAIEndpoints::test_plan_day_unauthorized FAILED [  5%]
test_comprehensive.py::TestAIEndpoints::test_generate_insights_unauthorized FAILED [  5%]
test_comprehensive.py::TestSecurity::test_security_headers FAILED        [  6%]
test_comprehensive.py::TestSecurity::test_cors_headers PASSED            [  6%]
test_comprehensive.py::TestErrorHandling::test_404_endpoint PASSED       [  6%]
test_comprehensive.py::TestErrorHandling::test_invalid_json FAILED       [  6%]
test_comprehensive.py::TestDataValidation::test_invalid_email_format PASSED [  7%]
test_comprehensive.py::TestDataValidation::test_weak_password PASSED     [  7%]
